 Elem	Todas permanentes e acidentais dos pavimentos	-	Empuxo	-	-	-	-	Vento (1) 78°	-	-	-	-	Vento (2) 258°	-	-	-	-	Vento (3) 348°	-	-	-	-	Vento (4) 168°	-	-	-	-	Vento (5) 33°	-	-	-	-	Vento (6) 123°	-	-	-	-	Vento (7) 213°	-	-	-	-	-	Vento (8) 303°	-	-	-	-	-	
 	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Fz	Fx	Fy	Mx	My	Mz	Fz	Fx	Fy	Mx	My	Mz
 P932	    0,01	   -0,05	   -0,59	  -28,91	    5,84	   -3,63	  -20,77	   -0,04	    0,02	    0,11	   -0,23	    0,04	    0,04	   -0,02	   -0,11	    0,23	   -0,04	    0,47	    0,13	   -0,01	    0,09	    0,62	   -0,47	   -0,13	    0,01	   -0,09	   -0,62	    0,12	    0,11	    0,24	   -0,46	    0,37	   -0,32	   -0,01	    0,27	   -0,59	   -0,18	   -0,12	   -0,11	   -0,24	    0,46	   -0,37	   -0,00	    0,32	    0,01	   -0,27	    0,59	    0,18	    0,00
 P934	    0,01	   -0,05	   -0,23	  -29,90	    6,06	   -4,07	  -22,74	   -0,01	    0,02	    0,11	   -0,23	    0,04	    0,01	   -0,02	   -0,11	    0,23	   -0,04	    0,39	    0,13	   -0,01	    0,09	    0,62	   -0,39	   -0,13	    0,01	   -0,09	   -0,62	    0,16	    0,11	    0,24	   -0,46	    0,37	   -0,19	   -0,01	    0,27	   -0,59	   -0,18	   -0,16	   -0,11	   -0,24	    0,46	   -0,37	   -0,00	    0,19	    0,01	   -0,27	    0,59	    0,18	   -0,00
 P936	    0,00	   -0,05	   -0,77	  -28,48	    5,74	   -3,45	  -19,94	   -0,00	    0,02	    0,11	   -0,23	    0,04	    0,00	   -0,02	   -0,11	    0,23	   -0,04	    1,02	    0,15	   -0,01	    0,10	    0,65	   -1,02	   -0,15	    0,01	   -0,10	   -0,65	    0,45	    0,11	    0,24	   -0,46	    0,38	   -0,46	   -0,01	    0,27	   -0,59	   -0,20	   -0,45	   -0,11	   -0,24	    0,46	   -0,38	    0,00	    0,46	    0,01	   -0,27	    0,59	    0,20	   -0,00
 P937	    0,02	   -0,10	    4,25	   -0,93	    0,85	   -1,69	   -2,37	    0,91	    0,01	    0,12	   -0,26	    0,03	   -0,91	   -0,01	   -0,12	    0,26	   -0,03	   -2,68	    0,17	   -0,14	    0,29	    0,69	    2,68	   -0,17	    0,14	   -0,29	   -0,69	    0,94	    0,10	    0,22	   -0,47	    0,37	    3,18	   -0,05	    0,33	   -0,70	   -0,24	   -0,94	   -0,10	   -0,22	    0,47	   -0,37	   -0,00	   -3,18	    0,05	   -0,33	    0,70	    0,24	   -0,00
 P938	    0,02	   -0,05	   -0,82	  -28,55	    5,77	   -3,51	  -20,15	   -0,00	    0,02	    0,11	   -0,23	    0,04	    0,00	   -0,02	   -0,11	    0,23	   -0,04	    1,03	    0,15	   -0,01	    0,10	    0,65	   -1,03	   -0,15	    0,01	   -0,10	   -0,65	    0,46	    0,11	    0,24	   -0,46	    0,37	   -0,46	   -0,01	    0,27	   -0,59	   -0,20	   -0,46	   -0,11	   -0,24	    0,46	   -0,37	   -0,00	    0,46	    0,01	   -0,27	    0,59	    0,20	    0,00
 P939	    0,05	   -0,07	    0,65	   -0,80	    0,87	   -1,71	   -2,17	   -0,02	    0,01	    0,13	   -0,27	    0,02	    0,02	   -0,01	   -0,13	    0,27	   -0,02	   -0,91	    0,15	   -0,14	    0,30	    0,65	    0,91	   -0,15	    0,14	   -0,30	   -0,65	   -0,44	    0,08	    0,23	   -0,48	    0,34	    0,37	   -0,05	    0,35	   -0,72	   -0,24	    0,44	   -0,08	   -0,23	    0,48	   -0,34	   -0,00	   -0,37	    0,05	   -0,35	    0,72	    0,24	    0,00
 P940	    0,01	   -0,04	   -0,13	  -30,62	    6,21	   -4,41	  -24,33	    0,01	    0,02	    0,11	   -0,23	    0,04	   -0,01	   -0,02	   -0,11	    0,23	   -0,04	    0,38	    0,13	   -0,01	    0,09	    0,63	   -0,38	   -0,13	    0,00	   -0,09	   -0,63	    0,20	    0,11	    0,24	   -0,46	    0,36	   -0,14	   -0,01	    0,26	   -0,58	   -0,19	   -0,20	   -0,11	   -0,24	    0,46	   -0,36	   -0,00	    0,14	    0,01	   -0,26	    0,58	    0,19	    0,00
 P941	    0,04	   -0,04	   -0,67	   -0,65	    0,88	   -1,72	   -1,93	   -0,24	    0,01	    0,13	   -0,27	    0,02	    0,24	   -0,01	   -0,13	    0,27	   -0,02	    0,25	    0,12	   -0,15	    0,31	    0,60	   -0,25	   -0,12	    0,15	   -0,31	   -0,60	   -0,43	    0,06	    0,24	   -0,49	    0,30	   -0,62	   -0,04	    0,35	   -0,73	   -0,23	    0,43	   -0,06	   -0,24	    0,49	   -0,30	   -0,00	    0,62	    0,04	   -0,35	    0,72	    0,23	    0,00
 P942	    0,01	   -0,04	   -0,51	  -30,06	    6,10	   -4,18	  -23,24	    0,00	    0,02	    0,11	   -0,23	    0,04	   -0,00	   -0,02	   -0,11	    0,23	   -0,04	    0,92	    0,15	   -0,00	    0,09	    0,65	   -0,92	   -0,15	    0,00	   -0,09	   -0,65	    0,42	    0,11	    0,24	   -0,46	    0,37	   -0,40	   -0,01	    0,26	   -0,58	   -0,20	   -0,42	   -0,11	   -0,24	    0,46	   -0,37	    0,00	    0,40	    0,01	   -0,26	    0,58	    0,20	   -0,00
 P943	    0,04	   -0,02	   -0,17	   -0,64	    0,88	   -1,73	   -1,96	   -0,01	    0,00	    0,13	   -0,27	    0,01	    0,01	   -0,00	   -0,13	    0,27	   -0,01	    0,02	    0,11	   -0,15	    0,31	    0,60	   -0,02	   -0,11	    0,15	   -0,31	   -0,60	   -0,03	    0,06	    0,24	   -0,48	    0,30	   -0,04	   -0,04	    0,35	   -0,73	   -0,23	    0,03	   -0,06	   -0,24	    0,48	   -0,30	    0,00	    0,04	    0,04	   -0,35	    0,73	    0,23	   -0,00
 P944	    0,03	   -0,06	   -1,95	  -32,26	    6,58	   -3,77	  -21,34	   -0,08	    0,02	    0,11	   -0,23	    0,03	    0,08	   -0,02	   -0,11	    0,23	   -0,03	    2,81	    0,18	   -0,01	    0,10	    0,70	   -2,81	   -0,18	    0,01	   -0,10	   -0,70	    1,08	    0,12	    0,24	   -0,46	    0,38	   -1,42	   -0,03	    0,27	   -0,59	   -0,23	   -1,08	   -0,12	   -0,24	    0,46	   -0,38	   -0,00	    1,41	    0,03	   -0,27	    0,59	    0,23	   -0,00
 P945	    0,04	   -0,03	    1,84	   -0,88	    0,89	   -1,74	   -2,39	   -0,05	    0,01	    0,13	   -0,27	    0,02	    0,05	   -0,01	   -0,13	    0,27	   -0,02	   -2,09	    0,15	   -0,16	    0,32	    0,66	    2,09	   -0,15	    0,16	   -0,32	   -0,66	   -0,99	    0,08	    0,23	   -0,48	    0,33	    0,83	   -0,05	    0,35	   -0,73	   -0,25	    0,99	   -0,08	   -0,23	    0,48	   -0,33	    0,00	   -0,83	    0,05	   -0,35	    0,73	    0,25	   -0,00
 P946	    0,07	   -0,11	    4,35	   -1,88	    0,87	   -1,72	   -3,71	   -1,21	    0,01	    0,12	   -0,26	    0,02	    1,21	   -0,01	   -0,12	    0,26	   -0,02	   -5,79	    0,48	   -0,16	    0,32	    1,05	    5,79	   -0,48	    0,16	   -0,32	   -1,05	   -5,12	    0,24	    0,22	   -0,46	    0,52	    0,03	   -0,18	    0,34	   -0,71	   -0,40	    5,12	   -0,24	   -0,22	    0,46	   -0,52	    0,00	   -0,03	    0,18	   -0,34	    0,71	    0,40	   -0,00
 P947	    0,54	   -0,10	   -1,42	   -1,92	    0,47	   -1,19	   -3,77	   -0,50	    0,01	    0,06	   -0,19	    0,02	    0,50	   -0,01	   -0,06	    0,19	   -0,02	    0,33	    0,50	   -0,07	    0,22	    1,08	   -0,33	   -0,50	    0,07	   -0,22	   -1,08	   -0,87	    0,25	    0,11	   -0,34	    0,53	   -1,13	   -0,19	    0,17	   -0,52	   -0,41	    0,87	   -0,25	   -0,11	    0,34	   -0,53	   -0,00	    1,13	    0,19	   -0,17	    0,52	    0,41	   -0,00
 P948	    0,60	   -0,14	   -1,14	   -1,94	    0,41	   -1,06	   -3,79	   -0,09	    0,01	    0,06	   -0,19	    0,02	    0,09	   -0,01	   -0,06	    0,19	   -0,02	    1,45	    0,51	   -0,06	    0,20	    1,09	   -1,45	   -0,51	    0,06	   -0,20	   -1,09	    0,46	    0,25	    0,11	   -0,34	    0,54	   -0,80	   -0,19	    0,17	   -0,51	   -0,42	   -0,46	   -0,25	   -0,11	    0,34	   -0,54	   -0,00	    0,80	    0,19	   -0,17	    0,51	    0,42	   -0,00
 P949	    0,83	   -0,05	   -0,43	   -1,95	    0,36	   -0,94	   -3,81	   -0,01	    0,01	    0,06	   -0,19	    0,02	    0,01	   -0,01	   -0,06	    0,19	   -0,02	    0,79	    0,51	   -0,06	    0,19	    1,09	   -0,79	   -0,51	    0,06	   -0,19	   -1,09	    0,33	    0,25	    0,11	   -0,34	    0,54	   -0,37	   -0,19	    0,16	   -0,50	   -0,42	   -0,33	   -0,25	   -0,11	    0,34	   -0,54	   -0,00	    0,37	    0,19	   -0,16	    0,50	    0,42	   -0,00
 P950	    1,22	   -0,16	   -0,12	   -1,96	    0,31	   -0,83	   -3,83	   -0,08	    0,01	    0,06	   -0,19	    0,02	    0,08	   -0,01	   -0,06	    0,19	   -0,02	    0,26	    0,51	   -0,05	    0,19	    1,09	   -0,26	   -0,51	    0,05	   -0,19	   -1,09	   -0,03	    0,25	    0,11	   -0,34	    0,54	   -0,29	   -0,19	    0,16	   -0,50	   -0,42	    0,03	   -0,25	   -0,11	    0,34	   -0,54	   -0,00	    0,29	    0,19	   -0,16	    0,50	    0,42	   -0,00
 P951	    0,53	    0,06	   -0,02	   -1,97	    0,27	   -0,72	   -3,85	   -0,16	    0,01	    0,06	   -0,19	    0,02	    0,16	   -0,01	   -0,06	    0,19	   -0,02	   -0,03	    0,51	   -0,05	    0,18	    1,09	    0,03	   -0,51	    0,05	   -0,18	   -1,09	   -0,35	    0,25	    0,12	   -0,34	    0,53	   -0,36	   -0,19	    0,16	   -0,50	   -0,42	    0,35	   -0,25	   -0,12	    0,34	   -0,53	   -0,00	    0,36	    0,19	   -0,16	    0,50	    0,42	   -0,00
 P952	    0,46	    0,07	    0,01	   -1,98	    0,23	   -0,62	   -3,87	   -0,26	    0,01	    0,06	   -0,19	    0,02	    0,26	   -0,01	   -0,06	    0,19	   -0,02	   -0,15	    0,51	   -0,05	    0,17	    1,09	    0,15	   -0,51	    0,05	   -0,17	   -1,09	   -0,64	    0,25	    0,12	   -0,35	    0,53	   -0,53	   -0,19	    0,16	   -0,50	   -0,42	    0,64	   -0,25	   -0,12	    0,35	   -0,53	   -0,00	    0,53	    0,19	   -0,16	    0,50	    0,42	   -0,00
 P953	    0,23	   -0,05	    0,06	   -2,00	    0,19	   -0,53	   -3,90	   -0,38	    0,01	    0,06	   -0,19	    0,02	    0,38	   -0,01	   -0,06	    0,19	   -0,02	   -0,08	    0,51	   -0,05	    0,17	    1,09	    0,08	   -0,51	    0,05	   -0,17	   -1,09	   -0,90	    0,25	    0,12	   -0,35	    0,53	   -0,84	   -0,19	    0,16	   -0,49	   -0,42	    0,90	   -0,25	   -0,12	    0,35	   -0,53	   -0,00	    0,84	    0,19	   -0,16	    0,49	    0,42	   -0,00
 P954	    0,41	   -0,08	    0,32	   -2,01	    0,16	   -0,44	   -3,92	   -0,42	    0,01	    0,06	   -0,18	    0,02	    0,42	   -0,01	   -0,06	    0,18	   -0,02	    0,16	    0,51	   -0,04	    0,16	    1,09	   -0,16	   -0,51	    0,04	   -0,16	   -1,09	   -0,89	    0,25	    0,12	   -0,34	    0,53	   -1,04	   -0,19	    0,16	   -0,49	   -0,42	    0,89	   -0,25	   -0,12	    0,34	   -0,53	   -0,00	    1,04	    0,19	   -0,16	    0,49	    0,42	   -0,00
 P955	    0,38	   -0,12	   -0,48	   -2,26	    0,13	   -0,36	   -4,22	   -0,30	    0,01	    0,06	   -0,18	    0,02	    0,30	   -0,01	   -0,06	    0,18	   -0,02	    1,25	    0,61	   -0,04	    0,16	    1,21	   -1,25	   -0,61	    0,04	   -0,16	   -1,21	   -0,14	    0,30	    0,12	   -0,34	    0,58	   -1,23	   -0,24	    0,16	   -0,49	   -0,47	    0,14	   -0,30	   -0,12	    0,34	   -0,58	   -0,00	    1,23	    0,24	   -0,16	    0,49	    0,47	   -0,00
 P956	    0,20	   -0,04	   -0,85	   -2,04	    0,11	   -0,30	   -3,97	   -0,18	    0,01	    0,06	   -0,18	    0,02	    0,18	   -0,01	   -0,06	    0,18	   -0,02	    1,12	    0,51	   -0,04	    0,15	    1,09	   -1,12	   -0,51	    0,04	   -0,15	   -1,09	    0,07	    0,25	    0,12	   -0,34	    0,53	   -0,91	   -0,20	    0,15	   -0,48	   -0,42	   -0,07	   -0,25	   -0,12	    0,34	   -0,53	   -0,00	    0,91	    0,20	   -0,15	    0,48	    0,42	   -0,00
 P957	    0,22	   -0,04	   -0,22	   -2,08	    0,09	   -0,24	   -4,05	   -0,16	    0,01	    0,06	   -0,17	    0,02	    0,16	   -0,01	   -0,06	    0,17	   -0,02	    0,38	    0,51	   -0,03	    0,14	    1,09	   -0,38	   -0,51	    0,03	   -0,14	   -1,09	   -0,20	    0,25	    0,11	   -0,33	    0,53	   -0,55	   -0,20	    0,14	   -0,46	   -0,42	    0,20	   -0,25	   -0,11	    0,33	   -0,53	   -0,00	    0,55	    0,20	   -0,14	    0,46	    0,42	   -0,00
 P958	    0,20	   -0,10	   -0,01	   -2,12	    0,08	   -0,21	   -4,12	   -0,12	    0,01	    0,06	   -0,17	    0,02	    0,12	   -0,01	   -0,06	    0,17	   -0,02	    0,07	    0,51	   -0,03	    0,14	    1,09	   -0,07	   -0,51	    0,03	   -0,14	   -1,09	   -0,25	    0,25	    0,11	   -0,32	    0,52	   -0,32	   -0,20	    0,14	   -0,45	   -0,42	    0,25	   -0,25	   -0,11	    0,32	   -0,52	   -0,00	    0,32	    0,20	   -0,14	    0,45	    0,42	   -0,00
 P959	    0,53	   -0,09	    0,06	   -2,16	    0,08	   -0,19	   -4,20	   -0,04	    0,01	    0,05	   -0,17	    0,02	    0,04	   -0,01	   -0,05	    0,17	   -0,02	   -0,10	    0,51	   -0,03	    0,13	    1,09	    0,10	   -0,51	    0,03	   -0,13	   -1,09	   -0,14	    0,25	    0,11	   -0,32	    0,52	   -0,06	   -0,20	    0,14	   -0,44	   -0,42	    0,14	   -0,25	   -0,11	    0,32	   -0,52	   -0,00	    0,06	    0,20	   -0,14	    0,44	    0,42	   -0,00
 P960	    0,52	   -0,15	    0,12	   -2,21	    0,09	   -0,18	   -4,28	   -0,01	    0,01	    0,05	   -0,16	    0,02	    0,01	   -0,01	   -0,05	    0,16	   -0,02	   -0,37	    0,51	   -0,02	    0,12	    1,08	    0,37	   -0,51	    0,02	   -0,12	   -1,08	   -0,18	    0,25	    0,11	   -0,31	    0,52	    0,15	   -0,20	    0,13	   -0,44	   -0,42	    0,18	   -0,25	   -0,11	    0,31	   -0,52	   -0,00	   -0,15	    0,20	   -0,13	    0,44	    0,42	   -0,00
 P961	    0,10	    0,01	    0,05	   -2,26	    0,09	   -0,18	   -4,37	   -0,04	    0,01	    0,06	   -0,17	    0,02	    0,04	   -0,01	   -0,06	    0,17	   -0,02	   -0,57	    0,50	   -0,02	    0,11	    1,08	    0,57	   -0,50	    0,02	   -0,11	   -1,08	   -0,35	    0,25	    0,12	   -0,33	    0,52	    0,14	   -0,19	    0,14	   -0,45	   -0,42	    0,35	   -0,25	   -0,12	    0,32	   -0,52	   -0,00	   -0,14	    0,19	   -0,14	    0,45	    0,42	   -0,00
 P962	    0,01	   -0,08	   -0,82	   -2,30	    0,11	   -0,20	   -4,45	   -0,24	    0,01	    0,05	   -0,16	    0,02	    0,24	   -0,01	   -0,05	    0,16	   -0,02	    0,31	    0,50	   -0,01	    0,10	    1,07	   -0,31	   -0,50	    0,01	   -0,10	   -1,07	   -0,39	    0,24	    0,11	   -0,31	    0,52	   -0,71	   -0,19	    0,13	   -0,42	   -0,41	    0,39	   -0,24	   -0,11	    0,31	   -0,52	   -0,00	    0,71	    0,19	   -0,13	    0,42	    0,41	   -0,00
 P963	    0,02	   -0,07	   -3,88	  -21,38	    4,16	   -2,38	  -15,21	   -0,74	    0,02	    0,11	   -0,22	    0,03	    0,74	   -0,02	   -0,11	    0,22	   -0,03	    6,59	    0,48	   -0,03	    0,13	    1,06	   -6,59	   -0,48	    0,03	   -0,13	   -1,06	    1,28	    0,25	    0,22	   -0,44	    0,53	   -4,66	   -0,17	    0,27	   -0,59	   -0,39	   -1,28	   -0,25	   -0,22	    0,44	   -0,53	    0,00	    4,66	    0,17	   -0,27	    0,59	    0,39	    0,00
